subject_id,T1_1 Country,T1_1 County,T1_1 State/Province,T3_1 Locality,T4_1 Other Notes,T6_1 Collector,T8_1 Begin Month,T9_1 Begin Day,T10_1 Begin Year,T13_1 End Month,T14_1 End Day,T15_1 End Year,T19_1 Associated Plant or Plant Host,T20_1 Trap Type,T21_1 Determined By (Det. as),T22_1 Date of Determination,T23_1 Sex,T26_1 Elevation,Filename
81431200,United States of America,Riverside,California,"Keen Camp, San Jacinto Mts 6 N.W.",Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll. Det. R. R. Snelling '53,T. E. Laningham,5 - May - V,17,1939,5 - May - V,17,1939,Eriogonum,,"R. R. Snelling, W. E. LaBerge",,,,LACMENT591706_had_lbs.jpg
81431202,United States of America,Alameda,California,"Arroyo Mocho, 20 mi. S. Livermore",Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,D.J. Burdick,6 - June - VI,6,1959,,,,,,W. E. LaBerge,,,,LACMENT591707_had_lbs.jpg
81431206,United States of America,Alameda,California,"Arroyo Mocho, 20 mi. S. Livermore",Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,D. J. Burdick,6 - June - VI,6,1959,,,,,,W. E. LaBerge,,,,LACMENT591708_had_lbs.jpg
81431210,United States of America,Contra Costa,California,Mt. Diablo,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,C. W. O’Brien,3 - March - III,4,1959,,,,Ceanothus sp.,,W. E. LaBerge,,,,LACMENT591709_had_lbs.jpg
81431212,United States of America,Alameda,California,Berkeley,Andrena (Melandrena) cerasifolii; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena cerasifolii Cockerell det. PH Timberlake; Andrena (Melandrena) cerasifolii Ckll.,G. E. & R. M. Bohart . U. C. L. A.,5 - May - V,10,1934,,,,,,Det's Cockerell & W. E. LaBerge,1965,,,LACMENT591710_had_lbs.jpg
81431214,United States of America,Alameda,California,Berkeley,Andrena (Melandrena) cerasifolii; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena cerasifolii Corkerell det. PH Timberlake; Andrena (Melandrena) cerasifolii Ckll.,"GE:RM Bohart , U.C.L.A.",,,,4 - April - IV,4,2022,Bee,Net,W. E. LaBerge,,♀,bee,LACMENT591711_had_lbs.jpg
81431216,United States of America,Contra Costa,California,Mt. Diablo,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,C.W.O'Brien,3 - March - III,4,1959,,,,Ceanothus sp.,,W. E. LaBerge,,,,LACMENT591712_had_lbs.jpg
81431218,United States of America,San Bernardino,California,6. mi. S. Leucern Val.,,,4 - April - IV,4,1966,,,,,,det. R. R. Snelling . det . W. E. LaBerge,4/April/1966,♀,,LACMENT591713_had_lbs.jpg
81431220,United States of America,San Bernardino,California,6 mi. S. Leucern Val.,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,,4 - April - IV,4,1966,,,,,,W.E. LaBerge,,,,LACMENT591714_had_lbs.jpg
81431222,United States of America,San Bernardino,California,6 mi. S. Leucern Val.,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,,4 - April - IV,4,1966,,,,,,W. E. LaBerge,4 / April / 1966,,,LACMENT591715_had_lbs.jpg
81431223,United States of America,San Bernardino,California,6 mi. S. Leucern,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,,4 - April - IV,4,1966,4 - April - IV,4,1966,,,W. E. LaBerge,,,,LACMENT591716_had_lbs.jpg
81431225,United States of America,San Bernardino,California,Camp Baldy,Andrena (Melandrena) cerasifolii; 237; Andrena mimetica Ckll. Timb. det.; Andrena (Melandrena) cerasifolii Ckll.,L. L. Muchmore,6 - June - VI,10,1916,,,,,,W. E. LaBerge,,,,LACMENT591717_had_lbs.jpg
