subject_id,T1_1 Country,T1_1 County,T1_1 State/Province,T3_1 Locality,T4_1 Other Notes,T6_1 Collector,T8_1 Begin Month,T9_1 Begin Day,T10_1 Begin Year,T13_1 End Month,T14_1 End Day,T15_1 End Year,T19_1 Associated Plant or Plant Host,T20_1 Trap Type,T21_1 Determined By (Det. as),T22_1 Date of Determination,T23_1 Sex,T26_1 Elevation,Filename
81432082,United States of America,San Francisco,California,San Miguel Hills San Francisco,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,D. C. Rentz,3 - March - III,13,1960,,,,,,W. E. LaBerge,,,,LACMENT592150_“had_lbs”.jpg
81432084,United States of America,Alameda,California,Woolsey Can.,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,A. Menke,3 - March - III,25,1956,,,,Andrena perimelas,,Bouseman & LaB.,,,,LACMENT592151_“had_lbs”.jpg
81432086,United States of America,Alameda,California,Berkeley,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,J. R. Powers,4 - April - IV,17,1959,,,,,,Bouseman & LaB,,,,LACMENT592152_“had_lbs”.jpg
81432088,United States of America,Alameda,California,Woolsey Can.,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,A. Menke,3 - March - III,25,1956,,,,,,Bouseman & LaB.,March /25/1956,,,LACMENT592153_“had_lbs”.jpg
81432089,United States of America,Alpine,California,Ebbetts Pass,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,G.I.Stage,6 - June - VI,23,1960,,,,,,W. E. LaBerge,,,8730',LACMENT592154_“had_lbs”.jpg
81432092,United States of America,Marin,California,Inverness,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,C. W. O'Brien,3 - March - III,15,1959,,,,,,W. E. LaBerge,,,,LACMENT592155_“had_lbs”.jpg
81432093,United States of America,,California,Sagehen nr. Hobart Mills,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,J. A. Powell,7 - July - VII,2,1951,,,,,,W. E. LaBerge,,,,LACMENT592156_“had_lbs”.jpg
81432095,United States of America,Riverside,California,Whitewater Cyn.,Andrena (Melandrena) perimelas,J. A. Honey,3 - March - III,11,1972,,,,,,,,,,LACMENT592157_“had_lbs”.jpg
81432097,United States of America,Alameda,California,Berkeley,Andrena (Melandrena) perimelas. HOMOTYPE meadowsi Cockerell 938. Andrena (Melandrena) perimelas Cockerell,C. L. Hogue,3 - March - III,25,1956,,,,,,Bouseman & LaB.,,,,LACMENT592158_“had_lbs”.jpg
81432100,United States of America,Marin,California,McClure's Beach,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,D. H. Janzen,3 - March - III,31,1962,,,,,,Bouseman & LaB.,,,,LACMENT592159_“had_lbs”.jpg
81432104,United States of America,Alameda,California,Berkeley,Andrena (Melandrena) perimelas; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena (Melandrena) perimelas Cockerell,U.C.L.A,3 - March - III,3,1934,,,,,,Bouseman & LaB.,1965,,,LACMENT592161_“had_lbs”.jpg
81432107,United States of America,Alameda,California,Strawberry Canyon,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,"A. Menke, Jr.",3 - March - III,18,1956,,,,,,Bouseman & LaB.,,,,LACMENT592162_“had_lbs”.jpg
81432112,United States of America,Alameda,California,Strawberry Canyon,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,"A. Menke, Jr.",3 - March - III,18,1956,,,,,,Bouseman & LaB.,March / 18 / 1956,,,LACMENT592163_“had_lbs”.jpg
81432115,United States of America,,California,Berkeley,Andrena (Melandrena) perimelas; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena perimelas Cockerell Det. G.Bohart '39; Andrena (Melandrena) perimelas Cockerell,GE:RM Bohart,3 - March - III,14,1937,,,,,,G. Bohart Bouseman & LaB.,1939,,,LACMENT592164_“had_lbs”.jpg
81432119,United States of America,Kern,California,Walker Pass,Andrena (Melandrena) perimelas; Andrena (Melandrena) perimelas Cockerell,R. P. Allen,4 - April - IV,8,1961,,,,,,Bouseman & LaB.,,,,LACMENT592165_“had_lbs”.jpg
81432122,United States of America,Stanislaus,California,11 mi. E. Turlock,"Andrena (Melandrena) perimelas; Andrena perimelas Ckll., var. Timb. det.; Andrena (Melandrena) perimelas Cockerell",Snelling,,2,1953,,,,On flowers of Brassica,,Bouseman & LaB.,not shown,,11 mi,LACMENT592166_“had_lbs”.jpg
81432124,United States of America,Los Angeles,California,Lupine Camp Gr.,,,6 - June - VI,27,1971,,,,,,W.E. LaB.,1971,,,LACMENT592167_“had_lbs”.jpg
81432126,United States of America,Los Angeles,California,Wrightwood,Andrena (Melandrena) pertristis; Andrena (Melandrena) pertristis pertristis,,7 - July - VII,1,1973,,,,,,W. E. LaBerge,,,,LACMENT592168_“had_lbs”.jpg
81432128,United States of America,Sierra,California,10 mi S. Sierraville,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R.L. Westcott,6 - June - VI,23,1962,,,,,,B. & L.,,,,LACMENT592169_“had_lbs”.jpg
81432131,United States of America,Tuolumne,California,"Mather, 1 mi. S.",Andrena (Melandrena) pertristis carliniformis. Andrena (Melandrena) pertristis carliniformis Vier. & Ckll.,"G, I. Stage",6 - June - VI,25,1961,,,,,,B. & L.,VI / 25 / 1961,,,LACMENT592170_“had_lbs”.jpg
81432133,United States of America,Modoc,California,"Cedarville, 5.2 mi. NW",Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,RR & RA Snelling,6 - June - VI,13,1969,6 - June - VI,13,1969,On Allium sp.,,B. & L.,13 June 1969,,6500',LACMENT592171_“had_lbs”.jpg
81432135,United States of America,Modoc,California,"Cedarville, 5.2 mi. NW",Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. & R. A. Snelling,6 - June - VI,13,1969,,,,On Allium sp.,,B. & L.,13 / June / 1969,,"6,500'",LACMENT592172_“had_lbs”.jpg
81432137,Unknown Country,,,,SECOND IMAGE,Vier. & Ckll. ?,Not shown,Not shown,Not shown,,,,,,B. & L.,,,,LACMENT592173_“had_lbs”.jpg
81432139,United States of America,Sierra,California,10 mi S. Sierraville,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. L. Westcott,6 - June - VI,23,1962,,,,,,B.& L.,,,,LACMENT592174_“had_lbs”.jpg
81432141,United States of America,Alpine,California,Hope Valley,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier & Ckll.,F. Bronner,7 - July - VII,18,1948,,,,,,B. & L.,,,,LACMENT592175_“had_lbs”.jpg
81432143,United States of America,Calaveras,California,Dorrington,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. P. Allen,6 - June - VI,11,1962,,,,,,B. & L.,,,,LACMENT592176_“had_lbs”.jpg
81432145,United States of America,Placer,California,13 mi. E. Forest Hill,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,RR&MD Snelling,6 - June - VI,24,1962,,,,Ceanothus,,B. & L.,,,,LACMENT592177_“had_lbs”.jpg
81432147,United States of America,El Dorado,California,Fred's Place,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,F. Bronner,7 - July - VII,1,1948,,,,,,B.& L.,1948,,,LACMENT592178_“had_lbs”.jpg
81432149,United States of America,Sierra,California,10 mi S. Sierraville,Andrena (Melandrena) pertristis carliniformis. Andrena (Melandrena) pertristis carliniformis Vier. & Ckll.,R.L. Westcott,6 - June - VI,20,1962,,,,,,B. & L.,,,,LACMENT592179_“had_lbs”.jpg
81432151,United States of America,Sierra,California,10 mi S. Sierraville,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R.L. Westcott,6 - June - VI,20,1962,,,,,,B. & L.,,,,LACMENT592180_“had_lbs”.jpg
81432153,United States of America,Shasta,California,Old Station,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier & Ckll.,,6 - June - VI,22,1955,,,,,,B.& L.,,,,LACMENT592181_“had_lbs”.jpg
81432155,United States of America,Tuolumne,California,"Camp Bob MAcBride, Pinecrest, Cal",,,8 - August - VIII,1,1952,,,,not shown,,B. & L. RRSnelling,not shown,,"5,400 ft.",LACMENT592182_“had_lbs”.jpg
81432158,United States of America,Alpine,California,Hope Valley,Andrena (Melandrena) pertristis carliniformis. Andrena (Melandrena) pertristis carliniformis Vier. & Ckll.,F. Bronner,7 - July - VII,18,1948,,,,,,B. & L.,,,,LACMENT592183_“had_lbs”.jpg
81432162,United States of America,Alpine,California,Hope Valley,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,F . Bronner,7 - July - VII,9,1948,,,,,,B. & L.,VII / 9 / 1848,,,LACMENT592184_“had_lbs”.jpg
81432165,United States of America,,California,Dorrington,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. P. Allen,6 - June - VI,11,1962,,,,,,B. & L.,,,,LACMENT592185_“had_lbs”.jpg
81432168,United States of America,Inyo,California,Lone Pine,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,,6 - June - VI,1,1937,,,,,,B.& L.,,,,LACMENT592186_“had_lbs”.jpg
81432171,United States of America,Owyhee,Idaho,5.3 mi. NE Silvercity,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1962,,,,Prunus virginiana var. demissa,,B. & L.,VI / 16 / 1962,,,LACMENT592187_“had_lbs”.jpg
81432175,United States of America,San Bernardino,California,Arrastre Flat SW San Bernardino Co,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis 43,M. O'Brien,5 - May - V,16,1978,,,,Ivesia argyrocema,,,,,"7,450ft.",LACMENT592188_“had_lbs”.jpg
81432178,United States of America,San Bernardino,California,Arrastre Flat SW San Bernardino Co,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis 45,M. O'Brien,5 - May - V,23,1978,5 - May - V,23,1978,Ivesia argyrocoma,,,,,"7,450 ft.",LACMENT592189_“had_lbs”.jpg
81432181,United States of America,San Bernardino,California,"Arrastre Flat, SW San Bernardino Co",Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis 32,M. O'Brien,6 - June - VI,3,1978,,,,on Lewisia rediviva,,M. O'Brien,,,"7,450 ft",LACMENT592190_“had_lbs”.jpg
81432183,United States of America,San Bernardino,California,Arrastre Flat SW San Bernardino Co,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis 49,M. O'Brien,6 - June - VI,3,1978,,,,on Lewisia rediviva,,,,,"7,450 ft",LACMENT592191_“had_lbs”.jpg
81432186,United States of America,San Bernardino,California,"Arrastre Flat SW San Bernardino Co, CA",Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis 68,M. O'Brien,6 - June - VI,8,1978,6 - June - VI,8,1978,on Lewisia rediviva,,,,,"7,450 ft",LACMENT592192_“had_lbs”.jpg
81432187,United States of America,San Bernardino,California,Arrastre Flat SW San Bernardino Co,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis 50,M. O'Brien,6 - June - VI,3,1978,,,,On Lewisia redivira,,,June / 3 / 1978,,"7,450 ft.",LACMENT592194_“had_lbs”.jpg
81432190,United States of America,San Bernardino,California,Arrastre Flat SW San Bernardino Co,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis 70,M. O'Brien,6 - June - VI,14,1978,,,,on Lewisia rediviva,,,,,"7,450 ft.",LACMENT592195_“had_lbs”.jpg
81432192,United States of America,Alpine,California,Monitor Pass summit,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,R. R. Snelling,6 - June - VI,29,1977,,,,,,W. E. LaB.,,,2534 m.,LACMENT592196_“had_lbs”.jpg
81432194,United States of America,Alpine,California,Monitor Pass summit,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,R. R. Snelling,6 - June - VI,29,1977,,,,,,W. E. LaB.,,,2534 m.,LACMENT592197_“had_lbs”.jpg
81432196,United States of America,Alpine,California,Monitor Pass summit,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,R. R. Snelling,6 - June - VI,29,1977,,,,,,W.E.LaB.,29 / June / 1977,,2534 m.,LACMENT592198_“had_lbs”.jpg
81432198,United States of America,Tuolumne,California,Dardanelles,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,7 - July - VII,2,1957,,,,,,W.E.LaB.,,,,LACMENT592199_“had_lbs”.jpg
81432200,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,29,1957,,,,,,W. E. LaB.,,,,LACMENT592200_“had_lbs”.jpg
81432203,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,29,1957,,,,Strawberry,,W.E.LaB.,,,,LACMENT592201_“had_lbs”.jpg
81432205,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,20,1957,,,,,,W. E. LaB.,,,,LACMENT592202_“had_lbs”.jpg
81432207,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,24,1957,,,,,,W.E. LaB.,IV-24-1957,,,LACMENT592203_“had_lbs”.jpg
81432209,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,19,1957,,,,unknown,,W. E. LaB.,unknown,,,LACMENT592204_“had_lbs”.jpg
81432211,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,29,1957,,,,,,W. E. LaB.,,,,LACMENT592205_“had_lbs”.jpg
81432214,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,29,1957,,,,,,W. E. LaB.,,,,LACMENT592206_“had_lbs”.jpg
81432218,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,21,1957,,,,,,W. E. LaB.,VI / 21 / 1957,,,LACMENT592207_“had_lbs”.jpg
81432222,United States of America,Tuolumne,California,Dardanelles,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,7 - July - VII,2,1957,,,,,,W.E. LaB.,,,,LACMENT592208_“had_lbs”.jpg
81432226,United States of America,Mono,California,Robinson Crk.,Andrena (Melandrena) pertristis carliniformis. Andrena (Melandrena) pertristis carliniformis Vier. & Ckll.,,6 - June - VI,20,1973,,,,,,W. E. LaB.,,,,LACMENT592209_“had_lbs”.jpg
81432229,United States of America,Modoc,California,Likely,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,,4 - April - IV,Not shown,1939,,,,,,B. & L.,,,,LACMENT592210_“had_lbs”.jpg
81432233,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena carliniformis Vie. & Cock. det. PH Timberlake; Andrena (Melandrena) pertristis carliniformis Vier & Ckll.,E. L. Silver,6 - June - VI,19,1951,6 - June - VI,19,,,,B. & L.,,,,LACMENT592211_“had_lbs”.jpg
81432235,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Salix,,B. & L.,1961,,,LACMENT592212_“had_lbs”.jpg
81432238,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Ex. Salix,,B. & L.,,,,LACMENT592213_“had_lbs”.jpg
81432240,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Ex. Salix,,B.& L.,,,,LACMENT592214_“had_lbs”.jpg
81432242,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Salix,,B. & L.,,,,LACMENT592215_“had_lbs”.jpg
81432244,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Ex. Salix,,B . & L.,VI / 16 / 1961,,,LACMENT592216_“had_lbs”.jpg
81432245,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis. Andrena (Melandrena) pertristis carliniformis Vier. & Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Ex. Salix,,B. & L.,,,,LACMENT592217_“had_lbs”.jpg
81432247,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier & Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Ex. Salix,,B. & L.,,,,LACMENT592218_“had_lbs”.jpg
81432249,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Ex . Salix,,B . & L .,Vi / 16 / 1961,,,LACMENT592219_“had_lbs”.jpg
81432251,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Salix,,B. & L.,,,,LACMENT592220_“had_lbs”.jpg
81432253,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier & Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Ex. Salix,,B. & L.,,,,LACMENT592221_“had_lbs”.jpg
81432255,Unknown Country,,,,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.; second image,,Not shown,Not shown,Not shown,,,,,,B. & L.,,,,LACMENT592222_“had_lbs”.jpg
81432256,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena carliniformis Vie. & Cock.,E. L. Silver,6 - June - VI,19,1951,,,,,,PH Timberlake,,,,LACMENT592223_“had_lbs”.jpg
81432259,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena carliniformis Vie. & Ckll.,E. L. Silver,6 - June - VI,18,1951,6 - June - VI,18,1951,Strawberry,,Vie. and Cock PH Timberlake,6-18-51,,,LACMENT592224_“had_lbs”.jpg
81432261,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis. U.C.L.A. COLL. Accessioned L.A.C.M. 1965. Andrena carliniformis Vie. & Cock.,E. L. Silver,6 - June - VI,19,1951,,,,,,PH Timberlake,,,,LACMENT592225_“had_lbs”.jpg
81432263,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier & Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Salix,,B.& L.,,,,LACMENT592226_“had_lbs”.jpg
81432265,United States of America,Modoc,California,"Cedarville, 5.2 mi. NW",Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,RR & RA Snelling,6 - June - VI,13,1969,,,,On Allium sp.,,B. & L.,,,6500',LACMENT592227_“had_lbs”.jpg
81432267,United States of America,,California,Kings Can.,Andrena (Melandrena) pertristis carliniformis; Andrena carliniformis V.&S. Timb. det.; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,G. D. Butler,6 - June - VI,18,1953,,,,,,B.& L.,,,,LACMENT592228_“had_lbs”.jpg
81432269,United States of America,Owyhee,Idaho,5.3 mi. NE. Silver City,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R.R. Snelling,6 - June - VI,16,1962,,,,Prunus virginiana var. demissa,,B. & L.,,,,LACMENT592229_“had_lbs”.jpg
81432273,United States of America,Modoc,California,Likely,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,,4 - April - IV,Not shown,1939,,,,,,B.& L.,,,,LACMENT592230_“had_lbs”.jpg
81432276,United States of America,Kern,California,Walker Pass,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. P. Allen,4 - April - IV,8,1961,,,,,,B.& L.,,,,LACMENT592231_“had_lbs”.jpg
81432277,United States of America,Siskiyou,California,HappyCamp12.7mi. NNE,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier & Ckll.,"R. R. Snelling, R. A. Snelling",6 - June - VI,7,1969,6 - June - VI,8,1969,not shown,,B. & L.,not shown,,2000',LACMENT592232_“had_lbs”.jpg
81432279,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,6 - June - VI,16,1961,Ex. Salix,,B. & L.,,,,LACMENT592233_“had_lbs”.jpg
81432281,United States of America,Tuolumne,California,Long Barn,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. R. Snelling,6 - June - VI,16,1961,,,,Ex. Salix,,B.& L.,,,,LACMENT592234_“had_lbs”.jpg
81432283,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena carliniformis Vie. & Cock.,E. L. Silver,6 - June - VI,19,1951,,,,,,PH Timberlake,,,,LACMENT592235_“had_lbs”.jpg
81432285,United States of America,Alpine,California,Woodfords,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,R. P. Allen,5 - May - V,21,1959,5 - May - V,29,1959,pertistis carliniformis,,W. E. LaB.,5/29/1959,,,LACMENT592236_“had_lbs”.jpg
81432288,United States of America,Sierra,California,10 mi S. Sierraville,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.& Ckll.,R. L. Westcott,6 - June - VI,20,1962,,,,,,B. & L.,,,,LACMENT592237_“had_lbs”.jpg
81432290,United States of America,Tuolumne,California,Strawberry,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,Donald L. Flaherty,6 - June - VI,18,1957,,,,,,W.E.LaB.,,,,LACMENT592238_“had_lbs”.jpg
81432293,United States of America,Tuolumne,California,"Camp Bob MacBride, Pinecrest",Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,R. Snelling,6 - June - VI,19,1951,,,,,,W. E. LaB.,VI / 19 / 51,,"5,400 ft.",LACMENT592239_had_lbs.jpg
81432294,United States of America,San Bernardino,California,Ontario,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,,6 - June - VI,1,1938,6 - June - VI,1,1938,,,W. E. LaB.,,,,LACMENT592240_“had_lbs”.jpg
81432297,United States of America,Nevada,California,Sagehen nr. Hobart Mills,Andrena (Melandrena) pertristis carliniformis; Andrena (Melandrena) pertristis carliniformis Vier.&Ckll.,J. A. Powell,6 - June - VI,25,1954,,,,,,W. E. LaB.,,,,LACMENT592241_“had_lbs”.jpg
81432299,United States of America,Nevada,California,Sagehen nr. Hobart Mills,Andrena (Melandrena) pertristis carliniformis. Andrena (Melandrena) carliniformis Vier. & Ckll.,J. A. Powell,6 - June - VI,25,1954,,,,,,W. E. LaB.,,,,LACMENT592242_“had_lbs”.jpg
81432301,United States of America,La Plata,Colorado,Durango,Andrena (Melandrena) platyrhina; 4762,Oslar,6 - June - VI,5,1899,,,,,,,,,,LACMENT592243_“had_lbs”.jpg
81432303,United States of America,,Arizona,Catalina Mts.,Andrena (Melandrena) platyrhina; Andrena (Melandrena) platyrhina Cockerell,G. D. Butler,4 - April - IV,3,1953,,,,Fendlera rupicola,,W. E. LaBerge,,,,LACMENT592244_“had_lbs”.jpg
81432305,United States of America,,Arizona,Catalina Mts.,Andrena (Melandrena) platyrhina; Andrena (Melandrena) platyrhina Cockerell,G. D. Butler,4 - April - IV,3,1953,,,,Fendlera rupicola,,W. E. LaBerge,,,,LACMENT592245_“had_lbs”.jpg
81432307,United States of America,,Arizona,Catalina Mts.,Andrena (Melandrena) platyrhina; Andrena (Melandrena) platyrhina Cockerell,G. D. Butler,4 - April - IV,3,1953,,,,Fenolera rupicola,,W. E. LaBerge,,,,LACMENT592246_“had_lbs”.jpg
81432308,United States of America,Pima,Arizona,Catalina Mts.,Andrena (Melandrena) platyrhina; Andrena (Melandrena) platyrhina Cockerell,G. D. Butler,4 - April - IV,3,1953,,,,,,W. E. LaBerge,,,,LACMENT592247_“had_lbs”.jpg
81432310,United States of America,Pima,Arizona,Catalina Mts.,Andrena (Melandrena) platyrhina; Andrena (Gymnandrena) n. sp. Timb. det.; platyrhina Cockerell,G. D. Butler,4 - April - IV,3,1953,,,,,,W. E. LaBerge,,,,LACMENT592248_“had_lbs”.jpg
81432312,United States of America,Suffolk,Massachusetts,Forest Hills,Andrena (Melandrena) regularis. U.C.L.A. COLL. Accessioned L.A.C.M. 1965. Andrena carlini cockerell. Andrena (Melandrena) regularis Malloch det. W. E. LaBerge,,Not shown,Not shown,Not shown,,,,,,"P. H. Timberlake, W. E. LaBerge",,,,LACMENT592249_“had_lbs”.jpg
81432314,United States of America,Prince Georges,Maryland,Bowie,Andrena (Melandrena) sayi; Andrena (Melandrena) sayi Robertson,Snelling,5 - May - V,5,1968,,,,,,Bouseman & LaB.,5 / V / 1968,,,LACMENT592250_“had_lbs”.jpg
