subject_id_NfN,catalogNumber,measurementType,measurementValue,measurementUnit,Filename_NfN,measurementDeterminedBy,measurementDeterminedDate,measurementMethod,measurementRemarks
,UCSB-IZC00036803,body size;intertegular distance;ITD,18,mm,,Katja Seltmann,2023-02-10,Measured under microscope,
,UCSB-IZC00042151,body size;intertegular distance;ITD,17,mm,,Katja Seltmann,2023-02-10,Measured under microscope,
,UCSB-IZC00043792,body size;intertegular distance;ITD,20,mm,,Katja Seltmann,2023-02-10,Measured under microscope,
,UCSB-IZC00047250,body size;intertegular distance;ITD,18,mm,,Katja Seltmann,2023-02-10,Measured under microscope,
,UCSB-IZC00042197,body size;intertegular distance;ITD,18,mm,,Katja Seltmann,2023-02-10,Measured under microscope,
,UCSB-IZC00012194,body size;intertegular distance;ITD,65,mm,,Katja Seltmann,2023-02-10,Measured under microscope,
